registro;data;BRL;quartos;banheiros;casa_m²;lote_m²;nº_pavtos;frente_mar;visao;condicao;padrao;subsolo_m²;construcao;reforma;lat;log
7129300520;2014-10-13;1164975.0;3;1;1180;5650;1;0;0;3;7;0;1955;0;47.5112;-122.257
6414100192;2014-12-09;2824500.0;3;3;2570;7242;2;0;0;3;7;400;1951;1991;47.721;-122.319
2487200875;2014-12-09;3171000.0;4;3;1960;5000;1;0;0;5;7;910;1965;0;47.5208;-122.393
1954400510;2015-02-18;2677500.0;3;2;1680;8080;1;0;0;3;8;0;1987;0;47.6168;-122.045
1321400060;2014-06-27;1351875.0;3;3;1715;6819;2;0;0;3;7;0;1995;0;47.3097;-122.327
2008000270;2015-01-15;1532212.5;3;2;1060;9711;1;0;0;3;7;0;1963;0;47.4095;-122.315
2414600126;2015-04-15;1204875.0;3;1;1780;7470;1;0;0;3;7;730;1960;0;47.5123;-122.337
1736800520;2015-04-03;3478125.0;3;3;3560;9796;1;0;0;3;8;1700;1965;0;47.6007;-122.145
6054650070;2014-10-07;2100000.0;3;2;1370;9680;1;0;0;4;7;0;1977;0;47.6127;-122.045
9297300055;2015-01-24;3412500.0;4;3;2950;5000;2;0;3;3;9;970;1979;0;47.5714;-122.375
1875500060;2014-07-31;2073750.0;3;2;1890;14040;2;0;0;3;7;0;1994;0;47.7277;-121.962
7983200060;2015-04-24;1207500.0;3;1;1250;9774;1;0;0;4;7;0;1969;0;47.3343;-122.306
2524049179;2014-08-26;10500000.0;3;3;3050;44867;1;0;4;3;9;720;1968;0;47.5316;-122.233
7137970340;2014-07-03;1496250.0;5;3;2270;6300;2;0;0;3;8;0;1995;0;47.3266;-122.169
8091400200;2014-05-16;1326675.0;2;2;1070;9643;1;0;0;3;7;0;1985;0;47.3533;-122.166
3814700200;2014-11-20;1727250.0;3;3;2450;6500;2;0;0;4;8;0;1985;0;47.3739;-122.172
7955080270;2014-12-03;1693125.0;4;3;2060;6659;1;0;0;3;7;780;1981;0;47.4276;-122.157
7895500070;2015-02-13;1260000.0;4;1;1220;8075;1;0;0;2;7;330;1969;0;47.3341;-122.282
2078500320;2014-06-20;3176250.0;4;3;2620;7553;2;0;0;3;8;0;1996;0;47.5301;-122.18
5547700270;2014-07-15;3281250.0;4;3;2570;5520;2;0;0;3;9;0;2000;0;47.6145;-122.027
7766200013;2014-08-11;4068750.0;4;3;4220;24186;1;0;0;3;8;1620;1984;0;47.445;-122.347
1432701230;2014-07-29;1622250.0;3;1;1280;9656;1;0;0;4;6;360;1959;0;47.4485;-122.175
8945200830;2015-03-25;1105072.5;3;1;990;8528;1;0;0;3;6;0;1966;0;47.3066;-122.371
4178300310;2014-07-16;4121250.0;4;3;2290;13416;2;0;0;4;9;0;1981;0;47.6194;-122.151
9215400105;2015-04-28;2362500.0;3;2;1250;5963;1;0;0;4;7;0;1953;0;47.6796;-122.301
822039084;2015-03-11;7087500.0;3;3;2753;65005;1;1;2;5;9;588;1953;0;47.4041;-122.451
5245600105;2014-09-16;1197000.0;3;1;1190;9199;1;0;0;3;7;0;1955;0;47.4258;-122.322
7231300125;2015-02-17;1811250.0;5;3;3150;9134;1;0;0;4;8;1510;1966;0;47.4934;-122.189
7518505990;2014-12-31;3150000.0;3;2;1410;4080;1;0;0;4;7;410;1950;0;47.6808;-122.384
3626039271;2015-02-05;3071250.0;2;2;1980;8550;1;0;0;3;7;990;1981;0;47.6989;-122.369
9822700295;2014-05-12;4646250.0;4;3;2830;5000;2;0;0;3;9;0;1995;0;47.6597;-122.29
7922800400;2014-08-27;4992750.0;5;4;3250;14342;2;0;4;4;8;0;1968;0;47.588;-122.116
8079040320;2015-02-23;2257500.0;4;3;1850;9976;2;0;0;3;8;0;1991;0;47.5059;-122.149
1516000055;2014-12-10;3412500.0;3;3;2150;21235;1;0;3;4;8;560;1959;0;47.4336;-122.339
9558200045;2014-08-28;1517250.0;3;2;1260;8400;1;0;0;3;7;0;1954;0;47.4366;-122.335
5072410070;2014-10-21;2651250.0;3;2;2519;8690;2;0;0;5;8;0;1973;0;47.4428;-122.344
1189001180;2014-06-03;2231250.0;3;3;1660;6000;1;0;0;3;7;550;1979;0;47.6113;-122.297
3394100030;2014-09-09;5118750.0;4;3;2720;11049;2;0;0;3;10;0;1989;0;47.5815;-122.192
1274500060;2014-08-25;1071000.0;3;1;1000;12070;1;0;0;4;7;0;1968;0;47.3621;-122.11
1802000060;2014-06-12;6956250.0;5;3;3200;20158;1;0;0;3;8;1600;1965;0;47.6303;-122.215
1525059190;2014-09-12;5460000.0;5;4;4770;50094;1;0;0;4;11;1700;1973;0;47.6525;-122.16
1049000060;2015-01-05;1706250.0;3;2;1260;5612;1;0;0;4;7;0;1972;0;47.7362;-122.179
3444100400;2015-03-16;1832250.0;3;2;1790;50529;1;0;0;5;7;700;1965;0;47.3511;-122.073
3276920270;2014-11-05;4370625.0;4;4;3430;35102;2;0;0;4;10;1040;1986;0;47.5822;-121.987
4036801170;2014-10-13;1995000.0;4;2;1760;7300;1;0;0;3;7;880;1956;0;47.6034;-122.125
6300000287;2014-06-09;2152500.0;3;1;1410;5060;1;0;0;4;7;500;1956;0;47.7073;-122.34
7437100340;2014-12-22;1890000.0;4;3;1900;5889;2;0;0;3;7;0;1992;0;47.349;-122.031
1523059105;2015-01-28;1869000.0;3;2;1680;8712;1;0;0;3;8;0;1964;0;47.4811;-122.149
1133000671;2014-06-02;1653750.0;3;1;960;6634;1;0;0;3;6;0;1952;0;47.7264;-122.31
2599001200;2014-11-03;1601250.0;5;3;2660;8400;2;0;0;5;7;0;1961;0;47.2909;-122.189
1332700270;2014-05-19;1128750.0;2;3;1610;2040;2;0;0;4;7;0;1979;0;47.518;-122.194
2791500270;2014-05-22;1278375.0;4;3;1980;7403;2;0;0;3;7;0;1988;0;47.2897;-122.372
4168000060;2015-02-26;803250.0;3;1;1200;10500;1;0;0;3;7;0;1962;0;47.322;-122.351
3422049190;2015-03-30;1299375.0;3;2;1960;15681;1;0;0;3;7;0;1967;0;47.3576;-122.277
1099611230;2014-09-12;1044750.0;4;2;1160;6400;1;0;0;4;7;0;1975;0;47.3036;-122.378
722079104;2014-07-11;1648500.0;3;2;1810;41800;1;0;0;5;7;600;1980;0;47.4109;-121.958
7338200240;2014-05-16;2296875.0;3;3;2320;36847;2;0;2;3;9;0;1992;0;47.4838;-121.714
7214720075;2014-12-12;3674737.5;3;3;2190;107593;2;0;0;4;8;0;1983;0;47.7731;-122.08
2450000295;2014-10-07;5712000.0;3;3;2920;8113;2;0;0;3;8;0;1950;2010;47.5814;-122.196
6197800045;2014-09-24;1522500.0;3;1;1210;33919;1;0;0;3;7;0;1954;0;47.4375;-122.184
1328310370;2015-04-02;1968750.0;3;3;2340;10005;1;0;0;4;8;880;1978;0;47.4431;-122.133
3530510041;2014-07-23;989625.0;2;2;1240;2493;1;0;0;4;8;0;1985;0;47.3813;-122.322
1853000400;2015-03-05;3570000.0;4;3;3140;28037;2;0;0;4;10;0;1991;0;47.7304;-122.082
9545230140;2014-07-25;3138187.5;4;3;2310;9624;2;0;0;3;8;0;1984;0;47.5386;-122.053
2525310310;2014-09-16;1430625.0;3;2;1540;12600;1;0;0;4;7;380;1980;0;47.3624;-122.031
6126500060;2014-11-24;1732237.5;3;2;2080;5969;1;0;2;3;7;1000;1971;0;47.5474;-122.295
3454800060;2015-01-08;901950.0;4;2;1570;9600;1;0;0;3;6;0;1950;0;47.4965;-122.303
7278700070;2015-01-02;3465000.0;3;3;2400;6474;1;0;2;3;8;840;1964;0;47.7728;-122.386
6675500070;2014-11-19;2055375.0;3;2;1450;9132;1;0;0;3;7;0;1987;0;47.7288;-122.226
3626039187;2015-04-06;2073750.0;2;1;770;6000;1;0;0;3;6;0;1953;0;47.6999;-122.364
3275860240;2014-06-18;4042500.0;3;3;2910;10204;2;0;0;3;9;0;1990;0;47.6897;-122.098
4058801670;2014-07-17;2336250.0;3;3;2100;8201;1;0;2;3;8;480;1967;0;47.5091;-122.244
8732020310;2014-07-17;1365000.0;4;3;2160;8811;1;0;0;3;8;800;1978;0;47.3129;-122.39
