id;date;price;bedrooms;bathrooms;sqft_living;sqft_lot;floors;waterfront;view;condition;grade;sqft_above;sqft_basement;yr_built;yr_renovated;zipcode;lat;long;sqft_living15;sqft_lot15
1873100390;20150302T000000;719000.0;4;2.5;2570;7173;2.0;0;0;3;8;2570;0;2005;0;98052;47.7073;-122.11;2630;6026
2426039314;20141201T000000;280000.0;2;1.5;1190;1265;3.0;0;0;3;7;1190;0;2005;0;98133;47.7274;-122.357;1390;1756
7203220400;20140707T000000;861990.0;5;2.75;3595;5639;2.0;0;0;3;9;3595;0;2014;0;98053;47.6848;-122.016;3625;5639
9478500640;20140819T000000;292500.0;4;2.5;2250;4495;2.0;0;0;3;7;2250;0;2008;0;98042;47.3663;-122.114;2250;4500
9528102996;20141207T000000;549000.0;3;1.75;1540;1044;3.0;0;0;3;8;1540;0;2014;0;98115;47.6765;-122.32;1580;3090
3717000160;20141009T000000;287000.0;4;2.5;2240;4648;2.0;0;0;3;7;2240;0;2005;0;98001;47.3378;-122.257;2221;4557
5416510140;20140710T000000;360000.0;4;2.5;2380;5000;2.0;0;0;3;8;2380;0;2005;0;98038;47.3608;-122.036;2420;5000
3342103156;20140618T000000;461000.0;3;3.25;2770;6278;2.0;0;0;3;9;1980;790;2006;0;98056;47.5228;-122.199;1900;7349
3869900162;20140904T000000;335000.0;2;1.75;1030;1066;2.0;0;0;3;7;765;265;2006;0;98136;47.5394;-122.387;1030;1106
3362400431;20140626T000000;518500.0;3;3.5;1590;1102;3.0;0;0;3;8;1590;0;2010;0;98103;47.6824;-122.347;1620;3166
8929000270;20140512T000000;453246.0;3;2.5;2010;2287;2.0;0;0;3;8;1390;620;2014;0;98029;47.5517;-121.998;1690;1662
2767602356;20150126T000000;675000.0;4;3.5;2140;2278;3.0;0;0;3;9;2140;0;2005;0;98107;47.6734;-122.38;1540;2285
2767603505;20140507T000000;519950.0;3;2.25;1170;1249;3.0;0;0;3;8;1170;0;2014;0;98107;47.6722;-122.381;1350;1310
3224079105;20140806T000000;430000.0;2;2.5;2420;60984;2.0;0;0;3;7;2420;0;2007;0;98027;47.5262;-121.943;1940;193842
7855801670;20150401T000000;2250000.0;4;3.25;5180;19850;2.0;0;3;3;12;3540;1640;2006;0;98006;47.562;-122.162;3160;9750
